task_id,item_id,text_label,label_human,bucket,specialty,rate,is_duplicate,label_human_note,rater_id,label_human_int
task01_00061,sent_000017,فعلا باید عک,0.0,topup_pref,جراح مغز و فلوشیپ دیسک و ستون فقرات,2.5,0,,,0.0
task01_00251,sent_000063,عمل تعویض مفصل زانو برای مادرم انجام دادن و بسیار عالی بود ایشون هم از نظر کاری هم شخصیتی بینهایت حرفه‌ای و بی‌نظیر هستن و کاش همه‌ی دکترای ما اینقد دلسوز و متعهد و شریف بودن,1.0,mixed,جراح و متخصص ارتوپدی,5.0,0,,,1.0
task01_00179,sent_000079,سرگیجه داشتم که الان برطرف شده,0.0,random,متخصص گوش و حلق و بینی,5.0,0,,,0.0
task01_00191,sent_000117,با حوصله معاینه می‌کنند فعلا در مرحله تشخیص آزمایشهای تخصصی نوشتند,1.0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,1.0
task01_00192,sent_000158,سلام نوبت دهی خوب بود و منشی هم خیلی خوش‌برخورد ولی از رفتار و گفتار خود دکتر اصلا راضی نبودم,-1.0,service_neg,متخصص جراحی مغز و اعصاب,5.0,0,,,-1.0
task01_00161,sent_000199,بسیار با دقت و با حوصله ویزیت کردن و روند درمان روتوضیح دادن,1.0,topup_pref,متخصص گوش و حلق و بینی,5.0,0,,,1.0
task01_00825,sent_000215,با سلام همسرم بیماری کره هانتینکتون داره حالا خیلی بدتر شده ونمیدانم چاره چیسن,-1.0,high_neg,متخصص مغز و اعصاب و ستون فقرات,5.0,0,,,-1.0
task01_00187,sent_000233,دکتر خوش برخوردی هست یک‌بار فعلا خدمتش رفتم نوبت بعدی هم دارم,0.0,service_neg,جراح و متخصص زنان و زایمان - فلوشیپ نازایی,2.5,0,,,0.0
task01_00097,sent_000241,در حال حاضر تحت درمانم,0.0,topup_pref,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00568,sent_000242,بخاطر‌ام اس مراجعه می‌کنم پیششون بسیارخوش اخلاق و مهربونن البته کاش انقد ویزیت مطب رو گرون نکنن درکل خیلی دکتر خوبین,1.0,high_neg,متخصص مغز و اعصاب ( نورولوژی ),2.5,0,,,1.0
task01_00302,sent_000255,تاندوم دستم مشکل داشته,0.0,topup_pref,متخصص ارتوپدی - جراح استخوان و مفاصل و ستون فقرات,2.5,0,,,0.0
task01_00075,sent_000267,چکاو و سنجش گوش,0.0,rate_neg,جراح گوش ، حلق و بینی,2.5,0,,,0.0
task01_00044,sent_000268,من راضی نبودم,-1.0,high_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,,-1.0
task01_00234,sent_000278,مشکل درد گردن داشتم و فعلا با اولین ویزیت اوضاع بهتری دارم,0.0,topup_pref,متخصص ارتوپدی و جراح ستون فقرات,5.0,0,,,0.0
task01_00481,sent_000281,پسوریازیس هنوزنتیجه نگرفتم,0.0,high_neg,متخصص پوست و مو ، لیزر,2.5,0,,,0.0
task01_00066,sent_000301,معطلی زیاد داشتیم درحد 4 ساعت ولی برخورد دکتر با حوصله و دقت و تشخیص بالا بود پسرم الان تحت درمان هستش,1.0,high_neg,جراح و متخصص استخوان و مفاصل (ارتوپد),2.5,0,,,1.0
task01_00201,sent_000337,درد عصبی و ارتورز,0.0,rate_neg,متخصص جراحی استخوان و مفاصل ارتوپدی,2.5,0,,,0.0
task01_00105,sent_000356,خیلی خوبه عالی همیشه براش دعا می‌کنیم خانم طالبی هستم,1.0,high_pos,متخصص گوش حلق و بینی,5.0,0,,,1.0
task01_00322,sent_000365,دخترم لوزه سوم داشت زیرنظرش بود,0.0,rate_neg,متخصص گوش و حلق و بینی و جراحی سر و گردن,2.5,0,,,0.0
task01_00032,sent_000380,نسبتا خو,0.0,rate_neg,متخصص مغز و اعصاب ( نورولوژی ),2.5,1,,,0.0
task01_00262,sent_000384,بسیار خانم دکتر مهربون و با دقت بهت گوش میده و استرس نمیده من مطب تهرانپارس ویزیت شدم منشی بسیار مهربان و با مسئولیتی دارن,1.0,topup_pref,متخصص و جراح زنان و زایمان ، نازایی - دارای بورد تخصصی,5.0,0,,,1.0
task01_00250,sent_000394,من دچار اگزما ناحیه لب شده بودم سه ماه درگیرش بودم با یه پماد یک روزه درمان شدم فقط اونروز مطب خیلی شلوغ بود و سر نوبتم نتونستم برم داخل,1.0,mixed,متخصص پوست و مو ، زیبایی و لیزر,5.0,0,,,1.0
task01_00642,sent_000402,خیلی خوب بود ولی بسیار ویزیت بالایی می‌گرفت,1.0,high_neg,متخصص زنان زایمان,2.5,0,,,1.0
task01_00853,sent_000420,منتظر جلسه دوم هستم,0.0,high_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,,0.0
task01_00177,sent_000423,سکته گوشز,0.0,rate_neg,متخصص گوش حلق بینی و جراحی سر و گردن,2.5,0,,,0.0
task01_00312,sent_000426,سلام دکتر آرام و متینی هستند با حوصله هستند دخترم هنوز در پروسه درمان است و انشالله منتظر نتیجه هستیم ایرادی که می‌شود بر کار ایشان گرفت که از این ماه نسخه الکترونیک ثبت نمی‌کنند و معتقدند که مربوط به زیبایی است در صورتیکه ما هر ماه برای بیمه تکمیلی هزینه پرداخت می‌کنیم و شرط استفاده از بیمه ثبت نسخه الکترونیک است که عدم ثبت آن به ضرر بیمار است,1.0,high_neg,متخصص پوست ، مو ، لیزر و زیبایی,2.5,0,,,1.0
task01_00176,sent_000436,فعلا نتیجه‌ای نگرفتیم,0.0,topup_pref,فوق تخصص مغز و اعصاب کودکان ، استاد دانشگاه,2.5,0,,,0.0
task01_00259,sent_000469,مشکل زانو هنوز در جریان درمان,0.0,topup_pref,جراح و متخصص ارتوپدی - فلوشیپ جراحی زانو,2.5,0,,,0.0
task01_00181,sent_000479,من برای درد دستم رفتم برخورد خوبی داشت,1.0,rate_neg,جراح و متخصص ارتوپدی,2.5,0,,,1.0
task01_00286,sent_000527,سلام خانم دکتر با اخلاق و مومن که با حوصله به حرفهای من گوشداد و به من آرامش داد متشکرم توصیه می‌کنم حتما ویزیت بشید توسط ایشون,1.0,topup_pref,متخصص جراحی زنان و زایمان و نازایی,5.0,0,,,1.0
task01_00023,sent_000548,من مشکل پوستی در کشاله ران داشتم و اگزاما دکتر‌های زیادی رفتم که اصلا فایده نداشت با یک نسخه ایشان کاملا خوب شدم عالی عالی عالی ممنونم از ایشون,1.0,mixed,متخصص پوست و مو و زیبایی,5.0,0,,,1.0
task01_00170,sent_000567,تحت درمان اندامتریو ز,0.0,rate_neg,جراح و متخصص زنان و زایمان,2.5,0,,,0.0
task01_00581,sent_000592,قرص‌های که می‌خورم بدتر شدم,-1.0,high_neg,متخصص بیماری های مغز و اعصاب,2.5,0,,,-1.0
task01_00858,sent_000612,مطب خیلی شلوغ هست و وقت‌ها خیلی تو هم تو هم هزینه قطعات مورد استفاده واقعا زیاد,-1.0,high_neg,فلوشیب زانو و آسیبهای ورزشی شانه و زانو,2.5,0,,,-1.0
task01_00319,sent_000613,گوش‌درد به دلیل عفونت وحساسیت دارم در حال درمان هستم ونتیجه رضایت بخشی ازدرمان دارم درضمن اخلاق وبرخورد خانم دکتربسیار عالی است که به نطرمن بخش مهمی ازدرمان است,1.0,high_pos,متخصص گوش و حلق و بینی,5.0,0,,,1.0
task01_00147,sent_000646,جراحی زیبایی بینی,0.0,rate_neg,متخصص گوش و حلق و بینی,2.5,0,,,0.0
task01_00101,sent_000663,دکتر خوب و حاذق و ویزیت گران,1.0,mixed,متخصص جراحی مغز و اعصاب,5.0,0,,,1.0
task01_00124,sent_000677,فعلا تحت درمان هستیم,0.0,rate_neg,فلوشیپ جراحی دست,2.5,0,,,0.0
task01_00621,sent_000696,بسیار با تاخیر بود و حدودا دو ساعت تاخیر وجود داشت که اینگونه نوبت دهی توجیهی ندارد و توهین به زمان و وقت مراجعین است,-1.0,high_neg,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,,,-1.0
task01_00104,sent_000702,در حال درمانم,0.0,topup_pref,متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی,2.5,0,,,0.0
task01_00021,sent_000714,خوش‌اخلاق با حوصله حاذق کم‌خرج بدون معطلی در کل راضی هستم,1.0,mixed,متخصص مغز و اعصاب (نورولوژیست),5.0,0,,,1.0
task01_00258,sent_000786,سلام بیشتر از دو ساعت تو مطب منتظر موندیم با اینکه تماس گرفتم گفتن سر تایم خودتون اینجا باشید وقت ما ساعت 6 بود تا ساعت 8 اونجا بودیم,0.0,high_neg,فوق تخصص مغز و اعصاب کودکان,2.5,0,,,0.0
task01_00182,sent_000791,خوب بود معطلی در مطب زیاده,0.0,high_neg,جراح و متخصص استخوان و مفاصل - ارتوپدی,2.5,0,,,0.0
task01_00196,sent_000806,مناظر نایجپ,0.0,rate_neg,جراح و متخصص زنان زایمان و نازایی,2.5,0,,,0.0
task01_00116,sent_000832,برای جوش‌های صورتم مراجعه کردم و فعلا تحت درمان هستم,0.0,topup_pref,متخصص پوست ، مو و لیزر,2.5,0,,,0.0
task01_00035,sent_000833,عرض سلام و ادب و احترام بنده دفعه اول بود که مراجعه کردم خیلی باحوصله جواب میده وتوضیحات شون در باره مشکلی ک داشتم عالی بود,1.0,high_pos,متخصص ارتوپدی - جراحیهای تخصصی زانو و لگن - تعویض مفصل,5.0,0,,,1.0
task01_00010,sent_000841,بیماری نسبتا کنترل شده,0.0,rate_neg,متخصص بیماری های پوست و مو,2.5,0,,,0.0
task01_00244,sent_000856,راضی نیستن,-1.0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,-1.0
task01_00272,sent_000867,خیلی بد بود 0,-1.0,high_neg,متخصص گوش و حلق و بینی جراحی پلاستیک,2.5,0,,,-1.0
task01_00045,sent_000872,یکبار ویزیت شدم هنوز نتیجه نگرفتم,0.0,mid_neg,متخصص جراحی مغز و اعصاب دیسک و ستون فقرات,5.0,0,,,0.0
task01_00005,sent_000884,دکتر خووب,1.0,rate_neg,فلوشیپ نازایی,2.5,0,,,1.0
task01_00198,sent_000898,در اینستا آشنا شدم,0.0,rate_neg,جراح و متخصص زنان و زایمان,2.5,0,,,0.0
task01_00294,sent_000906,بین نظیرن,1.0,random,متخصص پوست و مو,5.0,0,,,1.0
task01_00141,sent_000908,مطب شلوغ علافی زیاد تازه ویزیت شدم و دارو گرفتم,0.0,high_neg,جراح و متخصص زنان ، زایمان و نازایی,2.5,0,,,0.0
task01_00056,sent_000948,فعلا که فقط ویزیت شدم,0.0,service_neg,متخصص جراحی مغز و اعصاب,2.5,0,,,0.0
task01_00308,sent_001025,پدرم استخوان فمور عمل کردند و خدا رو شکر دکتر عملی خوب و عالی برای ایشان انجام دادند,1.0,high_pos,متخصص و جراح ارتوپدی,5.0,0,,,1.0
task01_00229,sent_001026,سلام دکتر بسیار با اخلاق ومهربان من تازه مراجعه کردم ومنتظر جواب ازمایشاتم هستم,1.0,mid_neg,متخصص زنان و زایمان,5.0,0,,,1.0
task01_00249,sent_001077,مطب خیلی تمیز تایم انتظار با اینکه خلوت بود طولانی و ماما اول کلی صحبت کرد بامن و سپس بعد کلی معطلی خانم دکتر بنظر متخصص و خوب میان,1.0,mixed,فلوشیپ پریناتولوژی - طب مادر و جنین,2.5,0,,,1.0
task01_00230,sent_001082,شروع درمان,0.0,rate_neg,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,,,0.0
task01_00227,sent_001119,برای درمان زگیل تناسلی بهشون مراجعه کردم در مرحله اول درمان کاملا نتیجه رضایت بخشی گرفتم و درمان شدم زگیل‌ها از بین رفتن و جاش هم دیگه نمونده و ویزیت‌های دوره‌ای رو برای چکاپ پیششون میرم بسیار خوش‌برخورد و با حوصله براتون توضیح میدن و تو کار و تشخصیشونم هم دقیق هستن دکتر با صحبت هاشون و اطلاعاتشون باعث روحیه دادن به بنده شدن و با اطمنیان خاطری که ایجاد کردن باعث دفع نگرانی هام راجب این بیماری شدن امیدوارم هر جا هستند موفق و سلامت باشند,1.0,mixed,متخصص جراحی کلیه و مجاری اداری ( ارولوژی ),5.0,0,,,1.0
task01_00189,sent_001129,من شماره مطب می‌خوام,0.0,service_neg,متخصص جراحی استخوان و مفاصل(ارتوپد),2.5,1,,,0.0
task01_00197,sent_001136,من امروز مطب بودم مطب تمیز مرتب با یه خانم منشی عالی خوش‌برخورد مرتب من به دلیل بیماری که دارم مجبورم دکترهای زیادی رفتم ولی از برخورد منشی راضی نبودم ولی امروز با برخورد منشی خانم شیخ روحیه گرفتم,1.0,mixed,متخصص زنان و زایمان,5.0,0,,,1.0
task01_00791,sent_001154,دکتر خیلی گرونیه تایم ویزیتشون هم خیلی کمه انگار عجله دارن همه چی انجام بشه زود و بره ولی در تشخیص ایشون میدونم که کار درسته و قبلا من ربات زانوم پاره شده بود خیلی زود ایشون سرپام کردن,-1.0,high_neg,فلوشیپ ارتوپدی و جراحی ستون فقرات,2.5,0,,,-1.0
task01_00185,sent_001158,تحت درمانم ناباروری,0.0,rate_neg,متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی,2.5,0,,,0.0
task01_00082,sent_001211,فقط فعلا یه بار ویزیت شدم هنوز به مرحله‌ی درمان نرسیدم,0.0,service_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,,0.0
task01_00121,sent_001240,مشکل هورمونی داشتم که خدارو شکر راضی بودم از رفتن به مطب ایشون چون باردار شدم ندونسته,1.0,topup_pref,متخصص زنان و زایمان ، نازایی,5.0,0,,,1.0
task01_00289,sent_001264,یک جلسه رفتم و نوبت آندوسکوپی بینی گرفتم,0.0,service_neg,متخصص گوش و حلق و بینی,2.5,0,,,0.0
task01_00083,sent_001271,عالی و خوش‌اخلاق با حوصله وبا تجربه,1.0,high_pos,متخصص زنان و زایمان,5.0,0,,,1.0
task01_00043,sent_001282,ختنه بود راضی بودم مشکل خاصی نداشتم,1.0,rate_neg,متخصص جراحی کلیه و مجاری ادراری,2.5,0,,,1.0
task01_00226,sent_001296,کرم ژانولوما دادن برا لکهام قرمز شده ننیدونم چیکار کنم,0.0,rate_neg,متخصص بیماری های پوست و مو,2.5,0,,,0.0
task01_00429,sent_001314,نعوظ ولی نتیجه نگرفتم,-1.0,high_neg,متخصص جراحی کلیه ، مجاری ادراری و تناسلی,2.5,0,,,-1.0
task01_00109,sent_001331,برای درمان خلط پشت خلق رفتم فرمودن مشکل بنذه از اسید معدس ودارو داد فعلا تحت نظرم,0.0,random,جراح و متخصص گوش و حلق و بینی,5.0,0,,,0.0
task01_00087,sent_001363,صورتم لک داشت,0.0,topup_pref,متخصص پوست و مو,2.5,0,,,0.0
task01_00174,sent_001376,ارتباط کمی با بیمار میگیرن ولی آز مایش‌ها و سونو هاشون رو دقیق مینویسن,0.0,topup_pref,متخصص زنان و زایمان,2.5,0,,,0.0
task01_00200,sent_001396,دکتر فوق العاده خوبی هستن,1.0,high_pos,متخصص گوش و حلق و بینی و جراحی زیبایی بینی,5.0,0,,,1.0
task01_00311,sent_001412,جلسه اول رفتم پیشش فعلا معلوم نیست,0.0,rate_neg,متخصص ارتوپدی و جراحی مفاصل و استخوان,2.5,0,,,0.0
task01_00160,sent_001417,برای جوش صورت مراجعه کردم و خیلی نتیجه نگرفتم,0.0,high_neg,متخصص پوست ، مو و زیبایی,2.5,0,,,0.0
task01_00085,sent_001425,فقط یک با,0.0,rate_neg,متخصص ارتوپدی - جراحی استخوان و مفاصل,2.5,0,,,0.0
task01_00034,sent_001434,ایشونبهترین دکتری هستند که به عمرم دیدم همسر بنده بعداز 12 سال که نازا بودن واسپرمشون صفر بود با جراحی ایشون صاحب یک فرزند پسر شدیم یک دنیا ازشون ممنونم,1.0,topup_pref,متخصص جراحی کلیه و مجاری ادراری و تناسلی,5.0,0,,,1.0
task01_00587,sent_001458,تشخیص خوب است اما معطلی تو مطب زیاد و مقداری آشنا بازی هستش,0.0,high_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00115,sent_001461,دکتر باسواد و سریع متوجه مشکل من ک پارگی تاندون شانه بود فقط مشکل هزینه عمل ک خودش میگیره یکم ب مریض فشار میاد,0.0,high_neg,فلوشیپ جراحی شانه و آرنج,2.5,0,,,0.0
task01_00648,sent_001467,هنوز فرصت ملاقات به دلیل شلوغی نشد,0.0,high_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00018,sent_001469,برای ویزیت بارداری رفتم عالی بود,1.0,high_pos,متخصص و جراح زنان و زایمان ، نازایی - دارای بورد تخصصی,5.0,0,,,1.0
task01_00134,sent_001480,فعلا یک جلسه برای کم پشتی موی دخترم مراجعه کردم,0.0,topup_pref,متخصص پوست مو لیزر,2.5,0,,,0.0
task01_00168,sent_001555,سلام لیرز پوست کار خانم دکتر بسیار عالی مثل اخلاق بی نطیزش,1.0,high_pos,متخصص پوست و مو زیبایی,5.0,0,,,1.0
task01_00195,sent_001566,خواهرم به تازگی ویزیت شدن هنوز نظری ندارم,0.0,service_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00019,sent_001608,سلام خانم دکتر بهترین راه ممکن رو به من پیشنهاد دادند,1.0,rate_neg,متخصص زنان و زایمان,2.5,0,,,1.0
task01_00682,sent_001625,دکتر خوبی بود اما برخورد منشی خیلی بد بود و عصبانی برای همین دومین بار دیگه نخواهم رفت,-1.0,high_neg,جراح و متخصص زنان و زایمان,2.5,0,,,-1.0
task01_00074,sent_001626,تشخیص خوبی دارن ولی شلوغ هست و دسترسی تلفنی یه مقدار سخت هست به مطبشون,0.0,high_neg,جراح و متخصص زنان زایمان نازایی,2.5,0,,,0.0
task01_00157,sent_001633,ایرادی که خیلی از دوستان وارد دونستن و درست هم هست معطلی زیاد در مطب دکتر هست البته خدماتی که ارائه میدن هم گران هست در مفصل زانوهام دکتر برام تزریق انجام داد امیدوارم نتیجه‌بخش باشه که البته این نکته در درازمدت مشخص خواهد شد برخورد دکتر و پرسنل خوب هست و اینکه سنجش تراکم استخوان و فیزیوتراپی هم دارن خوبه,0.0,high_neg,فلوشیپ ارتوپدی و جراحی ستون فقرات,2.5,0,,,0.0
task01_00265,sent_001640,سلام برای ریزش مو جوش صورت مراجعه کردیم امروز و فعلا منتظر نتیجه‌اش باشیم ببینیم چه نتیجه‌ای می‌گیریم و ضمنا از برخورد خوب و عالی ایشون بی‌نهایت تشکر می‌کنم خدا خیرشون بده انشالله,0.0,mixed,متخصص پوست مو و زیبایی و لیزر درمانی,5.0,0,,,0.0
task01_00026,sent_001688,در مرحله تست,0.0,random,فلوشیپ حنجره,5.0,0,,,0.0
task01_00060,sent_001747,دکتر خوب ولی خیلی گرون,0.0,mid_neg,متخصص پوست و مو,5.0,0,,,0.0
task01_00058,sent_001754,ایشون عالی بودن,1.0,high_pos,فلوشیپ جراحی دست,5.0,0,,,1.0
task01_00729,sent_001757,برای چک وضعیت جنین رفته بودیم دکتر بااخلاق و خوبی هستند منتها نسبت به هزینه‌ای ک دریافت میکنن خدمات کلینیک و نظم پرسنلشون کمه امیدوارم کیفیت کارشون رو بهبود بدن,0.0,high_neg,فلوشیپ طب مادر و جنین (پریناتولوژی),2.5,0,,,0.0
task01_00095,sent_001760,با سلام من سرگیجه داشتم تشخیص دکترفشارگوش بود ضرف سه تا حدود زیادی نتیجه گرفتم,1.0,rate_neg,متخصص و جراح گوش و حلق و بینی,2.5,0,,,1.0
task01_00120,sent_001762,عدم مدیریت زمان چند ساعت منتظر موندیم,-1.0,high_neg,متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران,2.5,0,,,-1.0
task01_00582,sent_001763,نتیجه منفی گرفتم بعد از 6 ماه هزینه کردن منشیشون گفتن وقت ندارن باید چند ماه دیگه مجدد درخواست بدید,-1.0,high_neg,متخصص و جراح پوست ، مو و زیبایی و لیزردرمانی,2.5,0,,,-1.0
task01_00317,sent_001792,ریزس مو و هنوز درمان نشدم,0.0,high_neg,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,,,0.0
task01_00081,sent_001826,در حال درمان دیسک کمر,0.0,topup_pref,متخصص ارتوپدی جراح استخوان مفاصل و آسیب های ورزشی,2.5,0,,,0.0
task01_00221,sent_001892,دکتر مجرب ودانایست کار بلد فقط تومطب خیلی معطلی داره وباید صبور بود من سنگ کلیه داشتم وازشون راضی هستم,1.0,mid_neg,متخصص و جراح کلیه مجاری ادراری و تناسلی - ارولوژیست,5.0,0,,,1.0
task01_00314,sent_001896,بیشتر از ظرفیت پذیرش می‌کنند و معطلی بسیار زیاده,0.0,high_neg,متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران,2.5,0,,,0.0
task01_00149,sent_001908,ایشون دکتر با شخصیت خوش‌برخورد مومن و بسیار کار درست است رحمم میوم بزرگ خود رحم بزرگ‌شده بود ایشون تخلیه شوند کردن رحم را دوستشون خیلی سبک من خیلی می‌ترسیدم از درد بعد از عمل ولی خدارا شکر خیلی خوب و راحت بودم و به دیگران هم ایشون را معرفی کردم,1.0,mid_neg,فلوشیپ انکولوژی زنان ( سرطان شناسی ),5.0,0,,,1.0
task01_00544,sent_001952,نتیجه نگرفتم هنوز,-1.0,high_neg,فلوشیپ نازایی,2.5,0,,,-1.0
task01_00028,sent_002009,دکتر خوبی هستند چند سال هست توسط ایشان ویزیت ودرمان می‌شوم,1.0,service_neg,متخصص اورولوژی - فلوشیپ اندویورولوژی و لاپاراسکوپی,2.5,0,,,1.0
task01_00016,sent_002084,پاهای پرانتزی,0.0,rate_neg,جراح و متخصص استخوان و مفاصل { ارتوپد },2.5,0,,,0.0
task01_00203,sent_002118,دکتر مهربون و خوش‌اخلاق و تخصصی کار میکنه از اول تمام آزمایشات لازم میده شاید یکم هزینه‌بر باشه ولی سریع جواب می‌گیری,1.0,mid_neg,جراح و متخصص زنان زایمان نازایی,5.0,0,,,1.0
task01_00063,sent_002124,ویزیت بسیار گران,-1.0,mid_neg,فلوشیپ آی وی اف و لاپاراسکوپی,5.0,0,,,-1.0
task01_00090,sent_002147,نوبت دهی خوب بود برام‌ام آر آی نوشتن فعلا تحت درمانم,0.0,service_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,,0.0
task01_00154,sent_002169,پی پی ار پی,0.0,rate_neg,متخصص پوست و مو,2.5,0,,,0.0
task01_00144,sent_002170,کاشت مو,0.0,mid_neg,متخصص پوست و مو ، لیزر,5.0,0,,,0.0
task01_00093,sent_002173,بهترین دکتر زنان حاذق دلسوز و منصف,1.0,topup_pref,جراح و متخصص زنان زایمان نازایی,5.0,0,,,1.0
task01_00006,sent_002196,فعلا درحالت معالجه,0.0,rate_neg,جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج,2.5,0,,,0.0
task01_00089,sent_002209,تازه مراجعه کردم و هنوز نظری ندارم,0.0,rate_neg,"جراح مغز و اعصاب , ستون فقرات , لیزر دیسک ,آندوسکوپ مغز و قاعده جمجمه",2.5,1,,,0.0
task01_00020,sent_002216,برای درمان لغزش دست مراجعه کردم ولی هنوز نتیجه نگرفتم,-1.0,high_neg,متخصص بیماری های مغز و اعصاب و ستون فقرات,2.5,0,,,-1.0
task01_00065,sent_002229,تا کنون در حال دوره درمان و به نسبت به گذشته بهترم,0.0,rate_neg,متخصص جراحی مغز و اعصاب,2.5,0,,,0.0
task01_00012,sent_002234,برای درمان آکنه مراجعه کردم از نظر برخورد و اخلاق خانم دکتر و تشخیص رضایت دارم ولی برنامه کارشون در کلینیک بهار اصلا مناسب نیست و برای وقت مراجعین ارزشی قائل نیستن بیش از ظرفیت کاری پزشک پذیرش میکنن و ساعات ویزیت و جراحی از هم تفکیک نشده برای یه ویزیت ساده و نشون دادن جواب آزمایش بیش از 2 ساعت معطلی داره,-1.0,high_neg,متخصص پوست و مو و زیبایی ، لیزر,2.5,0,,,-1.0
task01_00059,sent_002239,آقای دکتر درباره بیماری ونوع تشخیص بیماری اصلا توضیح نمیده ما ازش راضی نبودیم,-1.0,rate_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,,-1.0
task01_00112,sent_002262,مطب بسیار شلوغ و معطلی بسیار زیاد,-1.0,high_neg,متخصص گوش حلق بینی,2.5,0,,,-1.0
task01_00269,sent_002267,دیسک کمر داشتم گفتن عمل کنین فشارم بالابودن نشده عمل کنم میخوام نوبت برای عمل بزنم,0.0,service_neg,متخصص جراحی مغز و اعصاب,2.5,0,,,0.0
task01_00103,sent_002289,یکبار توسط ایشون ویزیت شدم وعالی بودن,1.0,topup_pref,فلوشیپ طب مادر و جنین - پریناتولوژی,5.0,0,,,1.0
task01_00828,sent_002294,خوب ولی مطب خیلی بی‌نظم و شلوغ هست,0.0,high_neg,متخصص زنان و زایمان - فلوشیپ نازایی,2.5,1,,,0.0
task01_00000,sent_002350,برای بعضی بیماران وقت می‌گذاشتند و از پشت در مطب می‌شنیدم که یک مطلب را چند بار برای بیمار تکرار می‌کردند ولی من که وارد مطب شدم وقت چندانی نگذاشتند و با عجله و نسبتا بی‌حوصلگی برخورد کردند و جواب‌های تند و سرسری دادند,-1.0,high_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,,-1.0
task01_00186,sent_002376,مراحل اولیه درمان,0.0,rate_neg,متخصص پوست ، مو ، زیبایی,2.5,0,,,0.0
task01_00025,sent_002410,تشنج دارم و هنوز هم درمان نشده,-1.0,high_neg,فلوشیپ صرع و متخصص بیماریهای مغز و اعصاب و ستون فقرات,2.5,0,,,-1.0
task01_00206,sent_002428,خیلی خوب بود,1.0,random,متخصص مغز و اعصاب و ستون فقرات,5.0,0,,,1.0
